Id,Facility__c,Name,Room_Type__c,Status__c,GPBUDVM_Demo_Record__c,GPBUDVM_External_Id__c,Hand_Crafted_for_Demo_Scenario__c,Record_Type_Name__c,Facility__r.Name
a031700000FTAtgAAH,a0017000006xUxAAAU,RES-8-017,Lavatory,Unknown,true,a031700000FTAtgAAH,true,Room,RES
a031700000FTAthAAH,a0017000006xUxAAAU,RES-8-018,Cubicle,Clean,true,a031700000FTAthAAH,true,Room,RES
a031700000FTAtiAAH,a0017000006xUxAAAU,RES-8-019,Closet,Unknown,true,a031700000FTAtiAAH,true,Room,RES
a031700000FTAtjAAH,a0017000006xUxAAAU,RES-8-020,Conference Room,Unknown,true,a031700000FTAtjAAH,true,Room,RES
a031700000FTAtkAAH,a0017000006xUxAAAU,RES-8-021,Personal Office,Unknown,true,a031700000FTAtkAAH,true,Room,RES
a031700000FTAtlAAH,a0017000006xUxAAAU,RES-8-022,Cubicle,Clean,true,a031700000FTAtlAAH,true,Room,RES
a031700000FTAtmAAH,a0017000006xUxAAAU,RES-8-023,Personal Office,Clean,true,a031700000FTAtmAAH,true,Room,RES
a031700000FTAtnAAH,a0017000006xUxAAAU,RES-8-024,Cubicle,Needs Cleaning,true,a031700000FTAtnAAH,true,Room,RES
a031700000FTAtoAAH,a0017000006xUxAAAU,RES-8-025,Conference Room,Clean,true,a031700000FTAtoAAH,true,Room,RES
a031700000FTAtpAAH,a0017000006xUxAAAU,RES-8-026,Conference Room,Clean,true,a031700000FTAtpAAH,true,Room,RES
a031700000FTAtqAAH,a0017000006xUxAAAU,RES-8-027,Conference Room,Clean,true,a031700000FTAtqAAH,true,Room,RES
a031700000FTAtrAAH,a0017000006xUxAAAU,RES-8-028,Cubicle,Unknown,true,a031700000FTAtrAAH,true,Room,RES
a031700000FTAtsAAH,a0017000006xUxAAAU,RES-8-029,Personal Office,Clean,true,a031700000FTAtsAAH,true,Room,RES
a031700000FTAttAAH,a0017000006xUxAAAU,RES-8-030,Personal Office,Unknown,true,a031700000FTAttAAH,true,Room,RES
a031700000FTAtuAAH,a0017000006xUxAAAU,RES-8-031,Conference Room,Clean,true,a031700000FTAtuAAH,true,Room,RES
a031700000FTAtvAAH,a0017000006xUxAAAU,RES-8-032,Personal Office,Clean,true,a031700000FTAtvAAH,true,Room,RES
a031700000FTAtwAAH,a0017000006xUxAAAU,RES-8-033,Kitchen,Unknown,true,a031700000FTAtwAAH,true,Room,RES
a031700000FTAtxAAH,a0017000006xUxAAAU,RES-8-034,Personal Office,Clean,true,a031700000FTAtxAAH,true,Room,RES
a031700000FTAtyAAH,a0017000006xUxAAAU,RES-8-035,Communal Space,Unknown,true,a031700000FTAtyAAH,true,Room,RES
a031700000FTAtzAAH,a0017000006xUxAAAU,RES-8-036,Personal Office,Unknown,true,a031700000FTAtzAAH,true,Room,RES
a031700000FTAu0AAH,a0017000006xUxAAAU,RES-8-037,Closet,Unknown,true,a031700000FTAu0AAH,true,Room,RES
a031700000FTAu1AAH,a0017000006xUxAAAU,RES-8-038,Cubicle,Clean,true,a031700000FTAu1AAH,true,Room,RES
a031700000FTAu2AAH,a0017000006xUxAAAU,RES-8-039,Conference Room,Unknown,true,a031700000FTAu2AAH,true,Room,RES
a031700000FTAu3AAH,a0017000006xUxAAAU,RES-8-040,Communal Space,Clean,true,a031700000FTAu3AAH,true,Room,RES
a031700000FTAu4AAH,a0017000006xUxAAAU,RES-8-041,Conference Room,Unknown,true,a031700000FTAu4AAH,true,Room,RES
a031700000FTAu5AAH,a0017000006xUxAAAU,RES-8-042,Lavatory,Clean,true,a031700000FTAu5AAH,true,Room,RES
a031700000FTAu6AAH,a0017000006xUxAAAU,RES-8-043,Conference Room,Clean,true,a031700000FTAu6AAH,true,Room,RES
a031700000FTAu7AAH,a0017000006xUxAAAU,RES-8-044,Cubicle,Clean,true,a031700000FTAu7AAH,true,Room,RES
a031700000FTAu8AAH,a0017000006xUxAAAU,RES-8-045,Cubicle,Clean,true,a031700000FTAu8AAH,true,Room,RES
a031700000FTAu9AAH,a0017000006xUxAAAU,RES-8-046,Closet,Clean,true,a031700000FTAu9AAH,true,Room,RES
a031700000FTAuAAAX,a0017000006xUxAAAU,RES-8-047,Communal Space,Clean,true,a031700000FTAuAAAX,true,Room,RES
a031700000FTAuBAAX,a0017000006xUxAAAU,RES-8-048,Cubicle,Unknown,true,a031700000FTAuBAAX,true,Room,RES
a031700000FTAuCAAX,a0017000006xUxAAAU,RES-8-049,Cubicle,Clean,true,a031700000FTAuCAAX,true,Room,RES
a031700000FTAuDAAX,a0017000006xUxAAAU,RES-8-050,Cubicle,Unknown,true,a031700000FTAuDAAX,true,Room,RES
a031700000FTAuEAAX,a0017000006xUxAAAU,RES-8-051,Conference Room,Clean,true,a031700000FTAuEAAX,true,Room,RES
a031700000FTAuFAAX,a0017000006xUxAAAU,RES-8-052,Cubicle,Unknown,true,a031700000FTAuFAAX,true,Room,RES
a031700000FTAuGAAX,a0017000006xUxAAAU,RES-8-053,Cubicle,Clean,true,a031700000FTAuGAAX,true,Room,RES
a031700000FTAuHAAX,a0017000006xUxAAAU,RES-8-054,Personal Office,Unknown,true,a031700000FTAuHAAX,true,Room,RES
a031700000FTAuIAAX,a0017000006xUxAAAU,RES-8-055,Conference Room,Clean,true,a031700000FTAuIAAX,true,Room,RES
a031700000FTAuJAAX,a0017000006xUxAAAU,RES-8-056,Personal Office,Clean,true,a031700000FTAuJAAX,true,Room,RES
a031700000FTAuKAAX,a0017000006xUxAAAU,RES-8-057,Cubicle,Unknown,true,a031700000FTAuKAAX,true,Room,RES
a031700000FTAuLAAX,a0017000006xUxAAAU,RES-8-058,Cubicle,Unknown,true,a031700000FTAuLAAX,true,Room,RES
a031700000FTAuMAAX,a0017000006xUxAAAU,RES-8-059,Cubicle,Clean,true,a031700000FTAuMAAX,true,Room,RES
a031700000FTAuNAAX,a0017000006xUxAAAU,RES-8-060,Cubicle,Clean,true,a031700000FTAuNAAX,true,Room,RES
a031700000FTAuOAAX,a0017000006xUxAAAU,RES-8-061,Conference Room,Unknown,true,a031700000FTAuOAAX,true,Room,RES
a031700000FTAuPAAX,a0017000006xUxAAAU,RES-8-062,Conference Room,Clean,true,a031700000FTAuPAAX,true,Room,RES
a031700000FTAuQAAX,a0017000006xUxAAAU,RES-8-063,Personal Office,Clean,true,a031700000FTAuQAAX,true,Room,RES
a031700000FTAuRAAX,a0017000006xUxAAAU,RES-8-064,Cubicle,Clean,true,a031700000FTAuRAAX,true,Room,RES
a031700000FTAuSAAX,a0017000006xUxAAAU,RES-8-065,Closet,Unknown,true,a031700000FTAuSAAX,true,Room,RES
a031700000FTAuTAAX,a0017000006xUxAAAU,RES-8-066,Lavatory,Unknown,true,a031700000FTAuTAAX,true,Room,RES
a031700000FTAuUAAX,a0017000006xUxAAAU,RES-8-067,Conference Room,Unknown,true,a031700000FTAuUAAX,true,Room,RES
a031700000FTAuVAAX,a0017000006xUxAAAU,RES-8-068,Cubicle,Unknown,true,a031700000FTAuVAAX,true,Room,RES
a031700000FTAuWAAX,a0017000006xUxAAAU,RES-8-069,Cubicle,Clean,true,a031700000FTAuWAAX,true,Room,RES
a031700000FTAuXAAX,a0017000006xUxAAAU,RES-8-070,Kitchen,Unknown,true,a031700000FTAuXAAX,true,Room,RES
a031700000FTAuYAAX,a0017000006xUxAAAU,RES-8-071,Cubicle,Clean,true,a031700000FTAuYAAX,true,Room,RES
a031700000FTAuZAAX,a0017000006xUxAAAU,RES-8-072,Personal Office,Clean,true,a031700000FTAuZAAX,true,Room,RES
a031700000FTAuaAAH,a0017000006xUxAAAU,RES-8-073,Personal Office,Clean,true,a031700000FTAuaAAH,true,Room,RES
a031700000FTAubAAH,a0017000006xUxAAAU,RES-8-074,Cubicle,Clean,true,a031700000FTAubAAH,true,Room,RES
a031700000FTAucAAH,a0017000006xUxAAAU,RES-8-075,Conference Room,Clean,true,a031700000FTAucAAH,true,Room,RES
a031700000FTAudAAH,a0017000006xUxAAAU,RES-8-076,Personal Office,Clean,true,a031700000FTAudAAH,true,Room,RES
a031700000FTAueAAH,a0017000006xUxAAAU,RES-8-077,Cubicle,Unknown,true,a031700000FTAueAAH,true,Room,RES
a031700000FTAufAAH,a0017000006xUxAAAU,RES-8-078,Cubicle,Unknown,true,a031700000FTAufAAH,true,Room,RES
a031700000FTAugAAH,a0017000006xUxAAAU,RES-8-079,Communal Space,Unknown,true,a031700000FTAugAAH,true,Room,RES
a031700000FTAuhAAH,a0017000006xUxAAAU,RES-8-080,Conference Room,Clean,true,a031700000FTAuhAAH,true,Room,RES
a031700000FTAuiAAH,a0017000006xUxAAAU,RES-8-081,Conference Room,Clean,true,a031700000FTAuiAAH,true,Room,RES
a031700000FTAujAAH,a0017000006xUxAAAU,RES-8-082,Personal Office,Unknown,true,a031700000FTAujAAH,true,Room,RES
a031700000FTAukAAH,a0017000006xUxAAAU,RES-8-083,Cubicle,Unknown,true,a031700000FTAukAAH,true,Room,RES
a031700000FTAulAAH,a0017000006xUxAAAU,RES-8-084,Cubicle,Clean,true,a031700000FTAulAAH,true,Room,RES
a031700000FTAumAAH,a0017000006xUxAAAU,RES-8-085,Cubicle,Clean,true,a031700000FTAumAAH,true,Room,RES
a031700000FTAunAAH,a0017000006xUxAAAU,RES-8-086,Cubicle,Unknown,true,a031700000FTAunAAH,true,Room,RES
a031700000FTAuoAAH,a0017000006xUxAAAU,RES-8-087,Cubicle,Clean,true,a031700000FTAuoAAH,true,Room,RES
a031700000FTAupAAH,a0017000006xUxAAAU,RES-8-088,Communal Space,Clean,true,a031700000FTAupAAH,true,Room,RES
a031700000FTAuqAAH,a0017000006xUxAAAU,RES-8-089,Conference Room,Clean,true,a031700000FTAuqAAH,true,Room,RES
a031700000FTAurAAH,a0017000006xUxAAAU,RES-8-090,Cubicle,Unknown,true,a031700000FTAurAAH,true,Room,RES
a031700000FTAusAAH,a0017000006xUxAAAU,RES-8-091,Cubicle,Clean,true,a031700000FTAusAAH,true,Room,RES
a031700000FTAutAAH,a0017000006xUxAAAU,RES-8-092,Conference Room,Clean,true,a031700000FTAutAAH,true,Room,RES
a031700000FTAuuAAH,a0017000006xUxAAAU,RES-8-093,Communal Space,Unknown,true,a031700000FTAuuAAH,true,Room,RES
a031700000FTAuvAAH,a0017000006xUxAAAU,RES-8-094,Conference Room,Clean,true,a031700000FTAuvAAH,true,Room,RES
a031700000FTAuwAAH,a0017000006xUxAAAU,RES-8-095,Conference Room,Unknown,true,a031700000FTAuwAAH,true,Room,RES
a031700000FTAuxAAH,a0017000006xUxAAAU,RES-8-096,Cubicle,Clean,true,a031700000FTAuxAAH,true,Room,RES
